"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"cb4224b2-1052-4091-80f3-7c9948bf7875","Dyonisius Periegetes.txt","Calauria","char-offset:22119","PLACE","http://geo-kima.org/place/5979","Poros Island (Greece)","","","","","VERIFIED","","","",""
"5b5c0e24-baef-40ea-aa11-fc69cd88aeae","Dyonisius Periegetes.txt","Carpathos","char-offset:22135","PLACE","http://sws.geonames.org/260895","Karpathos","","35.50701","27.21322","","VERIFIED","","","",""
"eff852c5-f871-4fde-a466-99b457b9dafc","Dyonisius Periegetes.txt","Crete","char-offset:22187","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","","","",""
"7dc3cf82-37dc-4729-932b-f38d6e97d15f","Dyonisius Periegetes.txt","Egypt","char-offset:22341","PLACE","http://pleiades.stoa.org/places/766","Aegyptus (Roman imperial province)","-0030/2100","","","province","VERIFIED","","","",""
"2fbb0785-2442-4d55-a262-74088d398700","Dyonisius Periegetes.txt","Rhodes","char-offset:22364","PLACE","http://sws.geonames.org/400666","Ródos","","36.43556","28.22199","","VERIFIED","","","",""
"8c5e0a84-3e2e-4ecc-889c-f2b0d8ee7b75","Dyonisius Periegetes.txt","Chelidoniae","char-offset:22428","PLACE","http://pleiades.stoa.org/places/638799","Chelidoniae (islands)|Chelidoniae Inss., Beş Adalar","-0550/0640","36.19053","30.40531","archipelago","VERIFIED","","","",""
"808a6b3b-c58b-4300-84f0-d68f7fdd81eb","Dyonisius Periegetes.txt","Patara","char-offset:22454","PLACE","http://pleiades.stoa.org/places/857264","Patara|Patara, Madenhanları","0300/0640","40.543937","39.648355","station","VERIFIED","","","",""
"fd0f6c4c-e74f-4a5b-868e-3c3d58012815","Dyonisius Periegetes.txt","Pamphylia","char-offset:22506","PLACE","http://pleiades.stoa.org/places/639034","Pamphylia","","36.990721","30.98638","region","VERIFIED","","","",""
"7517b9c9-aa65-434f-8e96-ca8004f13c17","Dyonisius Periegetes.txt","Phoenicia","char-offset:22580","PLACE","http://pleiades.stoa.org/places/678334","Phoenice","-0750/0640","33.25","35.25","region","VERIFIED","","","",""
"1b696708-9b1f-4ecf-9dca-4816d7ea55d8","Dyonisius Periegetes.txt","Arados","char-offset:22591","PLACE","http://pleiades.stoa.org/places/668197","Arados|Arados, Arwad","-2000/0640","34.856111","35.858333","settlement,fort","VERIFIED","","","",""
"7aca6b89-61a9-4802-ad5c-2fe2773ba808","Dyonisius Periegetes.txt","Cape Sunium","char-offset:22619","PLACE","http://geo-kima.org/place/27134","Soúnio Cape (Greece)","","","","","VERIFIED","","","",""
"b22c5957-6391-4c3c-8bd5-343a962a4f93","Dyonisius Periegetes.txt","Abantes","char-offset:22645","PLACE","http://pleiades.stoa.org/places/540583","Abantes","-0750/-0550","38.75","23.75","unknown","VERIFIED","","","",""
"dcabbe6b-7d9b-4546-bbbf-2f0945f5c51d","Dyonisius Periegetes.txt","Salamis","char-offset:22654","PLACE","http://pleiades.stoa.org/places/580100","Salamis|Salamis, Salamis","-0550/0300","37.947768","23.5314735","settlement","VERIFIED","","","",""
"28b75e83-f19a-4e4d-b672-6f01a93f8335","Dyonisius Periegetes.txt","Aegina","char-offset:22666","PLACE","http://sws.geonames.org/265502","Aegina","","37.74667","23.4275","","VERIFIED","","","",""
"42f9a7a5-2566-4dc1-a63a-07326e913c3f","Dyonisius Periegetes.txt","Athamantian","char-offset:22793","PLACE","http://pleiades.stoa.org/places/540676","Athamania","-0330/0300","39.25","21.25","people","VERIFIED","","","",""
"2a053623-b623-4368-a09d-ddcdfb3f03a4","Dyonisius Periegetes.txt","Sestos","char-offset:22827","PLACE","http://pleiades.stoa.org/places/501609","Sestos|Sestos, Yalikabat","-0750/0300","40.21343","26.38916","settlement","VERIFIED","","","",""
